title,langcode,status,title,promote,body,field_biozap_buttons,field_dni_do_potwierdzenia_skute,field_skrypt,field_urzadzenie
"Dizziness","en",true,"Dizziness",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DIZZINESS 0m
# Dizziness
# use Vertigo
off
@","multiZAP"
"Dna repair","en",true,"Dna repair",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DNA REPAIR 9m
# DNA_repair
# exp
freq 528000 180
freq 731000 180
freq 732000 180
off
@","multiZAP"
"Dog and cat h  1","en",true,"Dog and cat h  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DOG AND CAT H  1 3m
# Dog_and_cat_hostility_1
# 
freq 3600 180
off
@","multiZAP"
"Downs syndrom  1","en",true,"Downs syndrom  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DOWNS SYNDROM  1 3m
# Downs_syndrome_palliative
# 
freq 20000 180
off
@","multiZAP"
"Droglioma","en",true,"Droglioma",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DROGLIOMA 0m
# Droglioma
# use Cancer. droglioma
off
@","multiZAP"
"Drug addiction","en",true,"Drug addiction",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DRUG ADDICTION 3m
# Drug_addiction
# 
freq 20000 180
off
@","multiZAP"
"Duodenal ulcer","en",true,"Duodenal ulcer",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DUODENAL ULCER 0m
# Duodenal_ulcer
# use Ulcer. duodenal
off
@","multiZAP"
"Duodenitis","en",true,"Duodenitis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DUODENITIS 3m
# Duodenitis
# 
freq 223000 180
off
@","multiZAP"
"Dupuytrens co  1","en",true,"Dupuytrens co  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DUPUYTRENS CO  1 6m
# Dupuytrens_contracture
# 4th and 5th finger curling into hand. unable to straighten
freq 1200 180
freq 250000 180
off
@","multiZAP"
"Dysentery","en",true,"Dysentery",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DYSENTERY 9m
# Dysentery
# acute diarrhea with blood and mucus. Also use Entamoeba histolytica. Salmonella. and Shigella
freq 1552000 180
freq 802000 180
freq 832000 180
off
@","multiZAP"
"Dysmenorrhea","en",true,"Dysmenorrhea",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DYSMENORRHEA 24m
# Dysmenorrhea
# painful menstruation. Use with plain water douche
freq 26000 180
freq 4900 180
freq 1550000 180
freq 880000 180
freq 802000 180
freq 787000 180
freq 727000 180
freq 465000 180
off
@","multiZAP"
"Dyspepsia","en",true,"Dyspepsia",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# DYSPEPSIA 42m
# Dyspepsia
# indigestion. If chronic or with bloating. also see Parasites general
freq 10000000 180
freq 880000 180
freq 1550000 180
freq 832000 180
freq 800000 180
freq 787000 180
freq 727000 180
freq 465000 180
freq 444000 180
freq 20000 180
freq 125000 180
freq 95000 180
freq 72000 180
freq 4900 180
off
@","multiZAP"
"E coli 1","en",true,"E coli 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# E COLI 1 48m
# E_coli_1
# recommended for cancer adjunct
freq 7847000 180
freq 1730000 180
freq 1712000 180
freq 1244000 180
freq 1000000 180
freq 934000 180
freq 856000 180
freq 840000 180
freq 800000 180
freq 776000 180
freq 642000 180
freq 634000 180
freq 556000 180
freq 539000 180
freq 358000 180
freq 330000 180
off
@","multiZAP"
"E coli comp","en",true,"E coli comp",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# E COLI COMP 105m
# E_coli_comp
# 
freq 7849000 180
freq 7847000 180
freq 1730000 180
freq 1722000 180
freq 1712000 180
freq 1703000 180
freq 1552000 180
freq 1550000 180
freq 1320000 180
freq 1244000 180
freq 1242000 180
freq 1000000 180
freq 957000 180
freq 934000 180
freq 856000 180
freq 840000 180
freq 832000 180
freq 804000 180
freq 802000 180
freq 800000 180
freq 799000 180
freq 776000 180
freq 642000 180
freq 634000 180
freq 632000 180
freq 556000 180
freq 548000 180
freq 539000 180
freq 413000 180
freq 358000 180
freq 333000 180
freq 330000 180
freq 327000 180
freq 289000 180
freq 282000 180
off
@","multiZAP"
"E coli hc","en",true,"E coli hc",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# E COLI HC 12m
# E_coli_HC
# 
freq 17724000 1
scan 17725000 179
freq 19566000 1
scan 19567000 179
freq 974150 180
freq 882440 180
off
@","multiZAP"
"E coli mutant  1","en",true,"E coli mutant  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# E COLI MUTANT  1 24m
# E_coli_mutant_strain
# 
freq 556000 180
freq 934000 180
freq 1242000 180
freq 1244000 180
freq 1703000 180
freq 632000 180
freq 634000 180
freq 776000 180
off
@","multiZAP"
"E coli","en",true,"E coli",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# E COLI 87m
# E_coli
# Escherichia colian cause infections in wounds and the urinary tract. If using these leads to common cold symptoms. follow with Adenovirus freqs. 800/802*. 1550/1552*
freq 7849000 180
freq 7847000 180
freq 1730000 180
freq 1722000 180
freq 1552000 180
freq 1550000 180
freq 1320000 180
freq 1244000 180
freq 1000000 180
freq 957000 180
freq 934000 180
freq 856000 180
freq 840000 180
freq 832000 180
freq 804000 180
freq 802000 180
freq 800000 180
freq 799000 180
freq 776000 180
freq 642000 180
freq 634000 180
freq 556000 180
freq 548000 180
freq 413000 180
freq 333000 180
freq 330000 180
freq 327000 180
freq 289000 180
freq 282000 180
off
@","multiZAP"
"Ear condition  1","en",true,"Ear condition  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EAR CONDITION  1 57m
# Ear_conditions_various
# discharges. tinnitus. itching. hearing loss. Also see Otitis.
freq 10000000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 776000 180
freq 766000 180
freq 688000 180
freq 683000 180
freq 652000 180
freq 645000 180
freq 542000 180
freq 535000 180
freq 440000 180
freq 410000 180
freq 340000 180
freq 201000 180
freq 158000 180
freq 20000 180
freq 9190 180
off
@","multiZAP"
"Ear fungus 1","en",true,"Ear fungus 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EAR FUNGUS 1 3m
# Ear_fungus_1
# 
freq 854000 180
off
@","multiZAP"
"Ear wax","en",true,"Ear wax",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EAR WAX 0m
# Ear_wax
# use Cerumen
off
@","multiZAP"
"Ebv","en",true,"Ebv",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EBV 0m
# EBV
# use Epstein-Barr Virus
off
@","multiZAP"
"Echinococcinum","en",true,"Echinococcinum",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ECHINOCOCCINUM 0m
# Echinococcinum
# use Parasites. tapeworms. echinococcinum
off
@","multiZAP"
"Echo virus","en",true,"Echo virus",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ECHO VIRUS 60m
# Echo_Virus
# Endometriosis Tuberylosa. can cause a type of viral meningitis
freq 922000 180
freq 788000 180
freq 765000 180
freq 722000 180
freq 625000 180
freq 620000 180
freq 614000 180
freq 613000 180
freq 612000 180
freq 611000 180
freq 610000 180
freq 609000 180
freq 608000 180
freq 607000 180
freq 606000 180
freq 605000 180
freq 604000 180
freq 603000 180
freq 514000 180
freq 461000 180
off
@","multiZAP"
"Eczema 1","en",true,"Eczema 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ECZEMA 1 9m
# Eczema_1
# 
freq 770000 180
freq 916000 180
freq 415000 180
off
@","multiZAP"
"Eczema 2","en",true,"Eczema 2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ECZEMA 2 15m
# Eczema_2
# 
freq 730200 180
freq 1550000 180
freq 802000 180
freq 787000 180
freq 690000 180
off
@","multiZAP"
"Eczema vascul  1","en",true,"Eczema vascul  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ECZEMA VASCUL  1 3m
# Eczema_vascular_and_lung_disturbances
# 
freq 9390 180
off
@","multiZAP"
"Eczema","en",true,"Eczema",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ECZEMA 45m
# Eczema
# 
freq 9190 180
freq 707000 180
freq 1550000 180
freq 802000 180
freq 787000 180
freq 727000 180
freq 10000000 180
freq 5000000 180
freq 2720000 180
freq 2008000 180
freq 2180000 180
freq 2128000 180
freq 664000 180
freq 120000 180
freq 20000 180
off
@","multiZAP"
"Edema","en",true,"Edema",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EDEMA 42m
# Edema
# see also Kidney and Lymph stimulation
freq 40000 180
freq 522000 180
freq 146000 180
freq 6300 180
freq 148000 180
freq 444000 180
freq 440000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 465000 180
freq 20000 180
freq 5000000 180
freq 10000000 180
off
@","multiZAP"
"Electrolyte l  1","en",true,"Electrolyte l  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ELECTROLYTE L  1 9m
# Electrolyte_levels
# to improve
freq 8100 180
freq 20000 180
freq 10000000 180
off
@","multiZAP"
"Electrosmog 1","en",true,"Electrosmog 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ELECTROSMOG 1 3m
# Electrosmog_1
# 
freq 99500 180
off
@","multiZAP"
"Elephantiasis","en",true,"Elephantiasis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ELEPHANTIASIS 12m
# Elephantiasis
# use with parasite. esp roundworm and nematode freqs
freq 623000 180
freq 824000 180
freq 865000 180
freq 710000 180
off
@","multiZAP"
"Elkanella cor  1","en",true,"Elkanella cor  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ELKANELLA COR  1 6m
# Elkanella_corroderis_HC
# 
freq 19018000 1
scan 19019000 179
freq 946880 180
off
@","multiZAP"
"Emotional tie  1","en",true,"Emotional tie  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EMOTIONAL TIE  1 6m
# Emotional_ties_to_diseases
# 
freq 764000 180
freq 664000 180
off
@","multiZAP"
"Emphysema comp","en",true,"Emphysema comp",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EMPHYSEMA COMP 81m
# Emphysema_comp
# 
freq 7344000 180
freq 3672000 180
freq 2838000 1
scan 2839000 179
freq 2688000 180
freq 2404000 1
scan 2405000 179
freq 1234000 180
freq 975000 180
freq 880000 180
freq 787000 180
freq 777000 180
freq 766000 180
freq 727000 180
freq 709200 180
freq 688000 180
freq 683000 180
freq 660000 180
freq 650000 180
freq 601000 180
freq 422000 180
freq 300500 180
freq 240000 180
freq 150300 180
freq 128000 180
freq 120000 180
freq 80000 180
freq 75100 180
freq 20000 180
off
@","multiZAP"
"Emphysema","en",true,"Emphysema",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EMPHYSEMA 27m
# Emphysema
# use with mycoplasma pulmonis. mycoplasma pneumonia. and parasite freqs. esp roundworm
freq 1234000 180
freq 3672000 180
freq 7344000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 120000 180
freq 20000 180
freq 80000 180
off
@","multiZAP"
"Encephalitis","en",true,"Encephalitis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENCEPHALITIS 3m
# Encephalitis
# inflammation of the tissues of the brain and spinal cord
freq 841000 180
off
@","multiZAP"
"Endocarditis","en",true,"Endocarditis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENDOCARDITIS 0m
# Endocarditis
# use Listeriose
off
@","multiZAP"
"Endocrine rx tr","en",true,"Endocrine rx tr",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENDOCRINE RX TR 33m
# Endocrine_RX_TR
# includes stimulating frequencies for pineal. hypothalamus. pituitary. thyroid. adrenal. and thymus gands
freq 662000 180
freq 1725000 180
freq 1342000 180
freq 1534000 180
freq 1413000 180
freq 1351000 180
freq 635000 180
freq 763000 180
freq 1335000 180
freq 645000 180
freq 10000000 180
off
@","multiZAP"
"Endolimax nan  1","en",true,"Endolimax nan  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENDOLIMAX NAN  1 12m
# Endolimax_nana_HC
# trophozoites and cysts
freq 19715000 1
scan 19716000 179
freq 981590 180
freq 21508000 1
scan 21509000 179
freq 1070000 1
scan 1071000 179
off
@","multiZAP"
"Endometriosis  1","en",true,"Endometriosis  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENDOMETRIOSIS  1 9m
# Endometriosis_chronic
# growth of uterine tissue outside the uterus that may cause pain. infertility. & abnormal uterine bleeding. Use with Parasites. flukes. general
freq 246000 180
freq 800000 180
freq 1550000 180
off
@","multiZAP"
"Endometriosis  2","en",true,"Endometriosis  2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENDOMETRIOSIS  2 0m
# Endometriosis_tuberylosa
# use Echo virus
off
@","multiZAP"
"Endometriosis 1","en",true,"Endometriosis 1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENDOMETRIOSIS 1 78m
# Endometriosis_1
# use 246. 800. and 1550 for 5 min
freq 6766000 180
freq 6672000 180
freq 6641000 180
freq 6578000 180
freq 2150000 180
freq 2128000 180
freq 2082000 180
freq 2013000 180
freq 2008000 180
freq 2003000 180
freq 2000000 180
freq 1850000 180
freq 1550000 180
freq 945000 180
freq 854000 180
freq 846000 180
freq 830000 180
freq 800000 180
freq 763000 180
freq 676000 180
freq 651000 180
freq 524000 180
freq 435000 180
freq 275000 180
freq 246000 180
freq 142000 180
off
@","multiZAP"
"Energy vitality","en",true,"Energy vitality",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENERGY VITALITY 3m
# Energy_vitality
# 
freq 9999000 180
off
@","multiZAP"
"Entamoeba coi  1","en",true,"Entamoeba coi  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTAMOEBA COI  1 6m
# Entamoeba_coil_HC
# trophozoite
freq 19715000 1
scan 19716000 179
freq 981590 180
off
@","multiZAP"
"Entamoeba gin  1","en",true,"Entamoeba gin  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTAMOEBA GIN  1 6m
# Entamoeba_gingivalis_HC
# trophozoite
freq 21806000 1
scan 21807000 179
freq 1085000 1
scan 1086000 179
off
@","multiZAP"
"Entamoeba his  1","en",true,"Entamoeba his  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTAMOEBA HIS  1 18m
# Entamoeba_histolytica
# highly damaging protozoa causing dysentery and liver infection
freq 148000 180
freq 166000 180
freq 308000 180
freq 393000 180
freq 631000 180
freq 778000 180
off
@","multiZAP"
"Entamoeba his  2","en",true,"Entamoeba his  2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTAMOEBA HIS  2 6m
# Entamoeba_histolytica_HC
# 
freq 19168000 1
scan 19169000 179
freq 954320 180
off
@","multiZAP"
"Entamoeba his  3","en",true,"Entamoeba his  3",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTAMOEBA HIS  3 42m
# Entamoeba_histolytica_secondary
# 
freq 1552000 180
freq 880000 180
freq 802000 180
freq 1550000 180
freq 832000 180
freq 787000 180
freq 727000 180
freq 690000 180
freq 660000 180
freq 465000 180
freq 786000 180
freq 768000 180
freq 523000 180
freq 333000 180
off
@","multiZAP"
"Enterobacter   1","en",true,"Enterobacter   1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTEROBACTER   1 6m
# Enterobacter_aerogenes_HC
# causes intestinal problems
freq 18620000 1
scan 18621000 179
freq 927050 180
off
@","multiZAP"
"Enterobiasis   1","en",true,"Enterobiasis   1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTEROBIASIS   1 0m
# Enterobiasis - (pinworms. Use Parasites. enterobiasis)
# 
off
@","multiZAP"
"Enterococcinum","en",true,"Enterococcinum",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTEROCOCCINUM 6m
# Enterococcinum
# homeopathic nosode for Strep family organisms found in the digestive and urinary tracts
freq 686000 180
freq 409000 180
off
@","multiZAP"
"Enterohepatitis","en",true,"Enterohepatitis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTEROHEPATITIS 9m
# Enterohepatitis
# inflammation of bowel & liver
freq 552000 180
freq 932000 180
freq 953000 180
off
@","multiZAP"
"Enterovirus g  1","en",true,"Enterovirus g  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENTEROVIRUS G  1 114m
# Enterovirus_General
# generic term meaning small virus. includes Echo. Coxsackie. and Polio
freq 5000000 180
freq 3636000 180
freq 2632000 180
freq 1850000 180
freq 1500000 180
freq 1488000 180
freq 1422000 180
freq 1189000 180
freq 1044000 180
freq 922000 180
freq 868000 180
freq 845000 180
freq 822000 180
freq 788000 180
freq 776000 180
freq 766000 180
freq 742000 180
freq 733000 180
freq 721000 180
freq 676000 180
freq 654000 180
freq 625000 180
freq 620000 180
freq 612000 180
freq 610000 180
freq 608000 180
freq 595000 180
freq 515000 180
freq 487000 180
freq 461000 180
freq 435000 180
freq 423000 180
freq 380000 180
freq 322000 180
freq 283000 180
freq 232000 180
freq 144000 180
freq 136000 180
off
@","multiZAP"
"Enuresis","en",true,"Enuresis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ENURESIS 12m
# Enuresis
# bed wetting. Use with parasite sets
freq 10000000 180
freq 880000 180
freq 787000 180
freq 727000 180
off
@","multiZAP"
"Epicoccum","en",true,"Epicoccum",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPICOCCUM 6m
# Epicoccum
# 
freq 734000 180
freq 778000 180
off
@","multiZAP"
"Epicondylitis","en",true,"Epicondylitis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPICONDYLITIS 18m
# Epicondylitis
# tennis elbow. lateral or vertical
freq 1200 180
freq 250000 180
freq 728000 180
freq 766000 180
freq 776000 180
freq 880000 180
off
@","multiZAP"
"Epidermophyto  1","en",true,"Epidermophyto  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPIDERMOPHYTO  1 18m
# Epidermophyton_floccinum
# fungus that attacks skin & nails. including some athlete's foot and jock itch ringworms. Also use Microsporum freqs and Fungal general if necessary.
freq 22107000 180
freq 465000 180
freq 784000 180
freq 644000 180
freq 766000 180
freq 345000 180
off
@","multiZAP"
"Epididymitis","en",true,"Epididymitis",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPIDIDYMITIS 18m
# Epididymitis
# inflammation of testicle area. ducts. See also Orchitis.
freq 2250000 180
freq 1500000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 20000 180
off
@","multiZAP"
"Epilepsy","en",true,"Epilepsy",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPILEPSY 36m
# Epilepsy
# also try Shigella
freq 10000000 180
freq 880000 180
freq 802000 180
freq 787000 180
freq 727000 180
freq 700000 180
freq 650000 180
freq 600000 180
freq 210000 180
freq 633000 180
freq 125000 180
freq 20000 180
off
@","multiZAP"
"Epstein barr   1","en",true,"Epstein barr   1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPSTEIN BARR   1 42m
# Epstein_Barr_virus
# the herpes virus causing mononucleosis
freq 8768000 180
freq 6618000 180
freq 1920000 180
freq 1013000 180
freq 825000 180
freq 738000 180
freq 669000 180
freq 667000 180
freq 663000 180
freq 660000 180
freq 274000 180
freq 253000 180
freq 172000 180
freq 105000 180
off
@","multiZAP"
"Epstein barr   2","en",true,"Epstein barr   2",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPSTEIN BARR   2 27m
# Epstein_Barr_virus_secondary
# also try General parasite and roundworm freqs
freq 744000 180
freq 776000 180
freq 778000 180
freq 465000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 1032000 180
freq 1920000 180
off
@","multiZAP"
"Epstein barr hc","en",true,"Epstein barr hc",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# EPSTEIN BARR HC 12m
# Epstein_Barr_HC
# 
freq 18919000 1
scan 18920000 179
freq 18670000 1
scan 18671000 179
freq 941930 180
freq 929530 180
off
@","multiZAP"
"Ergot hc","en",true,"Ergot hc",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ERGOT HC 6m
# Ergot_HC
# 
freq 14687000 1
scan 14688000 179
freq 731230 180
off
@","multiZAP"
"Erwinia amylo  1","en",true,"Erwinia amylo  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ERWINIA AMYLO  1 6m
# Erwinia_amylovora_HC
# 
freq 17425000 1
scan 17426000 179
freq 867560 180
off
@","multiZAP"
"Erwinia carot  1","en",true,"Erwinia carot  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ERWINIA CAROT  1 6m
# Erwinia_carotovora_HC
# 
freq 18570000 1
scan 18571000 179
freq 924570 180
off
@","multiZAP"
"Erysipelas","en",true,"Erysipelas",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ERYSIPELAS 33m
# Erysipelas
# bacterial infection manifesting in skin inflammation caused by strep pyrogenes or other pathogens and possibly related to the swine form of the disease
freq 616000 180
freq 776000 180
freq 735000 180
freq 845000 180
freq 660000 180
freq 10000000 180
freq 880000 180
freq 787000 180
freq 727000 180
freq 465000 180
freq 20000 180
off
@","multiZAP"
"Erythema infe  1","en",true,"Erythema infe  1",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ERYTHEMA INFE  1 6m
# Erythema_infectiosum
# human parvovirus B19. sometimes known as Fifth disease. a contagious viral infection which causes blotchy or raised red rash with mild illness. exp
freq 809000 180
freq 1618000 180
off
@","multiZAP"
"Erythema nosodum","en",true,"Erythema nosodum",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ERYTHEMA NOSODUM 3m
# Erythema_nosodum
# 
freq 9390 180
off
@","multiZAP"
"Escherichia coli","en",true,"Escherichia coli",false,"Script imported from github. See: <a href='https://github.com/biotronika/scriptIMPORTER' target='_blank'>https://github.com/biotronika/scriptIMPORTER</a>","","30","# ESCHERICHIA COLI 0m
# Escherichia_coli
# use E. coli
off
@","multiZAP"
